PROVINCIE;GEMEENTENUMMER;GEMEENTENAAM;SOORT INSTELLING;TYPE HOGER ONDERWIJS;BRIN NUMMER ACTUEEL;INSTELLINGSNAAM ACTUEEL;CROHO ONDERDEEL;CROHO SUBONDERDEEL;OPLEIDINGSCODE ACTUEEL;OPLEIDINGSNAAM ACTUEEL;OPLEIDINGSVORM;GESLACHT;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Friesland;0080;Leeuwarden;reguliere inst.;bachelor;21PC;Rijksuniversiteit Groningen;recht;n.v.t. (recht);50017;B European Law School;voltijd onderwijs;man;0;0;1;0;0;0;0;0;0;0
Friesland;0080;Leeuwarden;reguliere inst.;bachelor;21PC;Rijksuniversiteit Groningen;recht;n.v.t. (recht);50620;B Recht en ICT;voltijd onderwijs;vrouw;0;1;1;0;0;0;0;0;0;0
Friesland;0080;Leeuwarden;reguliere inst.;bachelor;21PC;Rijksuniversiteit Groningen;recht;n.v.t. (recht);50700;B Rechtsgeleerdheid;deeltijd onderwijs;man;3;2;1;2;1;0;0;0;0;0
Friesland;0080;Leeuwarden;reguliere inst.;bachelor;21PC;Rijksuniversiteit Groningen;recht;n.v.t. (recht);50700;B Rechtsgeleerdheid;deeltijd onderwijs;vrouw;2;1;0;1;1;1;1;0;0;0
Friesland;0080;Leeuwarden;reguliere inst.;bachelor;21PC;Rijksuniversiteit Groningen;recht;n.v.t. (recht);50700;B Rechtsgeleerdheid;voltijd onderwijs;man;14;8;9;16;8;12;7;12;12;11
Friesland;0080;Leeuwarden;reguliere inst.;bachelor;21PC;Rijksuniversiteit Groningen;recht;n.v.t. (recht);50700;B Rechtsgeleerdheid;voltijd onderwijs;vrouw;16;25;3;16;15;17;13;17;18;19
Friesland;0080;Leeuwarden;reguliere inst.;bachelor;21PC;Rijksuniversiteit Groningen;sectoroverstijgend;sectoroverstijgend;59327;B Global Responsibility and Leadership;voltijd onderwijs;man;0;0;0;0;0;0;0;0;8;24
Friesland;0080;Leeuwarden;reguliere inst.;bachelor;21PC;Rijksuniversiteit Groningen;sectoroverstijgend;sectoroverstijgend;59327;B Global Responsibility and Leadership;voltijd onderwijs;vrouw;0;0;0;0;0;0;0;0;18;52
Friesland;0080;Leeuwarden;reguliere inst.;master;21PC;Rijksuniversiteit Groningen;economie;n.v.t. (economie);67085;M Sustainable Entrepreneurship;voltijd onderwijs;man;0;0;0;0;0;0;0;0;7;9
Friesland;0080;Leeuwarden;reguliere inst.;master;21PC;Rijksuniversiteit Groningen;economie;n.v.t. (economie);67085;M Sustainable Entrepreneurship;voltijd onderwijs;vrouw;0;0;0;0;0;0;0;0;8;21
Friesland;0080;Leeuwarden;reguliere inst.;master;21PC;Rijksuniversiteit Groningen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);60656;M Culturele Geografie;voltijd onderwijs;man;15;17;12;15;17;15;8;9;16;14
Friesland;0080;Leeuwarden;reguliere inst.;master;21PC;Rijksuniversiteit Groningen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);60656;M Culturele Geografie;voltijd onderwijs;vrouw;5;10;11;7;6;9;10;14;12;15
Friesland;0080;Leeuwarden;reguliere inst.;master;21PC;Rijksuniversiteit Groningen;recht;n.v.t. (recht);66461;M Recht en Bestuur;voltijd onderwijs;man;0;0;0;0;0;0;0;0;4;7
Friesland;0080;Leeuwarden;reguliere inst.;master;21PC;Rijksuniversiteit Groningen;recht;n.v.t. (recht);66461;M Recht en Bestuur;voltijd onderwijs;vrouw;0;0;0;0;0;0;0;0;2;2
Friesland;0080;Leeuwarden;reguliere inst.;master;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);60815;M Taalwetenschappen;voltijd onderwijs;man;0;0;0;0;0;0;0;2;4;4
Friesland;0080;Leeuwarden;reguliere inst.;master;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);60815;M Taalwetenschappen;voltijd onderwijs;vrouw;0;0;0;0;2;2;6;5;7;5
Friesland;0080;Leeuwarden;reguliere inst.;master;21PC;Rijksuniversiteit Groningen;techniek;n.v.t. (techniek);65005;M Water Technology (joint degree);voltijd onderwijs;man;0;0;0;0;1;0;0;0;0;0
Friesland;0080;Leeuwarden;reguliere inst.;master;21PC;Rijksuniversiteit Groningen;techniek;n.v.t. (techniek);65005;M Water Technology (joint degree);voltijd onderwijs;vrouw;0;0;0;0;1;0;0;0;1;0
Friesland;0080;Leeuwarden;reguliere inst.;master;21PH;Universiteit Twente;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);69319;M Environmental and Energy Management;voltijd onderwijs;man;0;0;0;0;0;0;0;20;18;25
Friesland;0080;Leeuwarden;reguliere inst.;master;21PH;Universiteit Twente;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);69319;M Environmental and Energy Management;voltijd onderwijs;vrouw;0;0;0;0;0;0;0;15;23;17
Friesland;0080;Leeuwarden;reguliere inst.;master;21PH;Universiteit Twente;techniek;n.v.t. (techniek);65005;M Water Technology (joint degree);voltijd onderwijs;man;0;0;0;0;0;0;0;0;1;0
Friesland;0080;Leeuwarden;reguliere inst.;master;21PI;Wageningen University;techniek;n.v.t. (techniek);65005;M Water Technology (joint degree);voltijd onderwijs;man;0;0;0;14;17;20;24;27;25;18
Friesland;0080;Leeuwarden;reguliere inst.;master;21PI;Wageningen University;techniek;n.v.t. (techniek);65005;M Water Technology (joint degree);voltijd onderwijs;vrouw;0;0;0;9;13;20;18;12;13;14
Gelderland;0200;Apeldoorn;WO kleine univ.;bachelor;21QO;Theologische Universiteit Apeldoorn;taal en cultuur;n.v.t. (taal en cultuur);56109;B Theologie;voltijd onderwijs;man;54;54;42;46;54;46;48;44;49;48
Gelderland;0200;Apeldoorn;WO kleine univ.;bachelor;21QO;Theologische Universiteit Apeldoorn;taal en cultuur;n.v.t. (taal en cultuur);56109;B Theologie;voltijd onderwijs;vrouw;7;7;11;14;17;16;17;17;15;16
Gelderland;0200;Apeldoorn;WO kleine univ.;master;21QO;Theologische Universiteit Apeldoorn;taal en cultuur;n.v.t. (taal en cultuur);60257;M Theologie;voltijd onderwijs;man;38;39;31;41;40;36;28;33;28;19
Gelderland;0200;Apeldoorn;WO kleine univ.;master;21QO;Theologische Universiteit Apeldoorn;taal en cultuur;n.v.t. (taal en cultuur);60257;M Theologie;voltijd onderwijs;vrouw;1;4;4;3;3;2;2;3;6;5
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;economie;n.v.t. (economie);50645;B Bedrijfskunde;voltijd onderwijs;man;610;561;505;567;570;541;582;705;759;859
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;economie;n.v.t. (economie);50645;B Bedrijfskunde;voltijd onderwijs;vrouw;327;322;350;369;379;385;408;496;514;530
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;economie;n.v.t. (economie);50950;B Economie en Bedrijfseconomie;voltijd onderwijs;man;217;243;263;318;352;381;392;413;487;514
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;economie;n.v.t. (economie);50950;B Economie en Bedrijfseconomie;voltijd onderwijs;vrouw;84;87;104;122;120;132;149;169;194;197
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);50035;B Culturele Antropologie en Ontwikkelingssociologie;voltijd onderwijs;man;43;37;32;29;34;38;34;35;28;27
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);50035;B Culturele Antropologie en Ontwikkelingssociologie;voltijd onderwijs;vrouw;160;164;168;161;149;136;120;118;135;116
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56601;B Sociologie;voltijd onderwijs;man;70;59;58;51;49;43;42;40;38;51
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56601;B Sociologie;voltijd onderwijs;vrouw;71;63;73;95;104;95;102;93;95;99
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56604;B Psychologie;voltijd onderwijs;man;380;365;332;340;307;274;387;366;360;345
